City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,viedma,-40.8135,-62.9967,16.41,47,0,5.71,AR,1699572027
318,hilo,19.7297,-155.09,29.6,73,20,5.14,US,1699572166
319,la mira,18.035,-102.3266,28.93,76,47,2.78,MX,1699572166
320,coahuayana de hidalgo,18.7,-103.6583,29.46,71,85,1.97,MX,1699572167
321,ankang,32.68,109.0172,12.12,77,97,2.38,CN,1699572167
322,tarauaca,-8.1614,-70.7656,26.29,75,100,1.13,BR,1699572167
323,island harbour,50.724,-1.2758,10.52,79,29,2.68,GB,1699572167
324,mayqayyng,51.4625,75.7986,7.27,75,78,6.66,KZ,1699572168
325,quirinopolis,-18.4483,-50.4517,31.13,21,74,1.44,BR,1699572168
326,mar del plata,-38.0023,-57.5575,14.41,73,0,10.28,AR,1699572168
327,fukuecho,32.6881,128.8419,17.2,94,75,2.57,JP,1699572168
328,palikir - national government center,6.9248,158.1611,30.41,74,100,2.06,FM,1699572050
329,krasnyy chikoy,50.3643,108.7512,-17.15,97,97,1.32,RU,1699572169
330,kutum,14.2,24.6667,22.17,27,10,4.81,SD,1699572169
331,lat yao,15.751,99.7893,23.94,92,97,0.51,TH,1699572169
332,igrim,63.1906,64.4162,-2.25,91,61,3.52,RU,1699572169
333,san patricio,28.017,-97.5169,24.92,80,100,2.04,US,1699572170
334,xinyuan,37.3,99.0,-6.11,36,2,2.46,CN,1699572170
335,san antonio de pale,-1.4014,5.6325,25.81,80,34,5.71,GQ,1699572170
336,bodo,67.28,14.405,0.43,74,7,5.66,NO,1699572170
337,kapa'a,22.0752,-159.319,28.99,77,75,6.69,US,1699572092
338,danshui,22.7984,114.4672,23.26,87,39,1.05,CN,1699572170
339,arys,42.4252,68.795,8.21,61,4,2.68,KZ,1699572171
340,conceicao do araguaia,-8.2578,-49.2647,26.66,68,96,1.38,BR,1699572171
341,itamaraju,-17.0392,-39.5311,21.45,92,3,1.82,BR,1699572171
342,port de pollenca,39.9075,3.0814,13.58,63,53,3.03,ES,1699571922
343,santa ana de yacuma,-13.75,-65.4333,30.97,66,75,0.0,BO,1699572171
344,harper,4.375,-7.7169,25.59,88,99,3.16,LR,1699572172
345,cleburne,32.3476,-97.3867,12.71,93,100,6.69,US,1699572172
346,miri,4.4148,114.0089,26.08,94,40,1.03,MY,1699572173
347,qorovulbozor,39.5006,64.7936,6.84,53,90,4.89,UZ,1699572173
348,hasaki,35.7333,140.8333,15.22,65,41,6.6,JP,1699572070
349,punta del este,-34.9667,-54.95,14.98,73,0,3.09,UY,1699572173
350,bandarbeyla,9.4942,50.8122,26.2,79,100,6.61,SO,1699572173
351,alegria,9.4669,125.5772,26.61,81,73,1.14,PH,1699572173
352,tucuma,-0.1833,-50.05,27.63,73,37,4.43,BR,1699572174
353,jhang sadr,31.2715,72.3284,18.49,69,75,6.76,PK,1699572174
354,palasa,18.7667,84.4167,20.91,58,1,1.6,IN,1699572174
355,arucas,28.1198,-15.5233,20.43,80,61,5.49,ES,1699572174
356,mbandaka,0.0487,18.2603,22.47,95,82,0.65,CD,1699572174
357,mirriah,13.7073,9.1501,26.1,16,100,4.09,NE,1699572175
358,kyzyl-mazhalyk,51.1333,90.6,-10.05,97,100,0.45,RU,1699572175
359,gurupi,-11.7292,-49.0686,26.84,56,41,2.79,BR,1699571924
